"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/components/bottom_nav_bar.dart", "Dart", -35, 0, -1, -5, -41
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/components/my_app_bar.dart", "Dart", -22, 0, -1, -5, -28
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/components/my_drawer.dart", "Dart", -75, 0, -7, -7, -89
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/main.dart", "Dart", -19, 0, 0, -3, -22
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/modules/auth/auth_button.dart", "Dart", -33, 0, 0, -4, -37
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/modules/auth/auth_page.dart", "Dart", -20, 0, -2, -3, -25
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/modules/auth/auth_service.dart", "Dart", -24, 0, -7, -8, -39
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/modules/auth/auth_textfield.dart", "Dart", -34, 0, -2, -4, -40
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/modules/auth/login_or_register.dart", "Dart", -28, 0, -2, -6, -36
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/modules/auth/login_page.dart", "Dart", -149, 0, -1, -9, -159
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/modules/auth/register_page.dart", "Dart", -168, 0, -6, -16, -190
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/modules/auth/square_tile.dart", "Dart", -27, 0, -1, -4, -32
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/modules/core/ToDoneApp.dart", "Dart", -16, 0, 0, -3, -19
"/home/extrypto/Desktop/Desktop/DEV/Flutter/2Done_auth/to_done/lib/modules/core/firebase_options.dart", "Dart", -54, 0, -12, -4, -70
